	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
acorn	6.481509454582323E-4	9.531866078091342E-4	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
acoustics	0.0	0.0015545803993817645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002521392018575821	
acquire	0.009074113236415254	0.006195712950759372	0.013645237392342047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007729922190254987	
acquired	0.005185207563665859	0.007148899558568506	0.007797278509909741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008502914409280485	
acquires	0.004537056618207627	0.002859559823427403	0.0038986392549548703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005410945533178491	
acquiring	0.0025926037818329293	0.0038127464312365366	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
acquisition	0.0020660096220950874	0.0015191621004221393	0.0	0.0	0.0016338053124781747	0.0	0.0	0.0	0.0021590665652731424	0.0	0.0	0.0012319733339139491	
acquisitions	0.0019444528363746973	0.0023829665195228356	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
acquitted	0.0012963018909164647	0.0023829665195228356	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
acres	0.002044688581475348	0.001503484478931576	0.003074709380490858	0.0	0.0	0.0	0.0	6.256484273070997E-4	0.0	3.0053073797356515E-4	0.0	0.0024385189513120597	
acrobatics	0.015555622690997578	0.012391425901518744	0.013645237392342047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020870789913688466	
actd	0.0014660263780483717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acted	0.0016357508651802786	0.001202787583145261	0.0012298837521963434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
actin	0.002044688581475348	9.020906873589456E-4	0.0	0.0	0.0	0.0	0.0	0.01105312221575876	0.0	0.013523883208810433	0.0031209436245116648	4.877037902624119E-4	
acting	0.0023921322916316263	0.0014071712649460148	0.0014388717505621836	0.0	4.7292597338620537E-4	0.0	0.0	8.539553600895789E-4	9.999513642796308E-4	7.031968481143649E-4	0.0	0.0014264421438154337	
action	9.568529166526506E-4	7.035856324730074E-4	0.0	0.0	0.011633978945300653	0.0	0.0	0.0018299043430490976	0.009999513642796307	0.002285389756371686	0.0018256349872040926	0.0014264421438154337	
